gfkzshh;funktion;endenergiesektor;gebtyp_gemod;gebtyp_gemod_txt;geschosshoehe;hinweis;bwz;flaechenkorrektur_faktor;quelle
-;Keller;kein_bedarf;;Gesamt;0;;;85;eigene Einschätzung
-;Tiefgarage;kein_bedarf;;Gesamt;0;;760000;88;VDI-3807-Blatt2-2-2014-11.pdf
31001_1000;Wohngebäude;WG;;;2,8;;610000;84;VDI-3807-Blatt2-2-2014-11.pdf
31001_1100;Gemischt genutztes Gebäude mit Wohnen;gemischt;;;2,8;;610000;85;eigene Einschätzung
31001_1223;Forsthaus;WG;;;2,8;;612000;84;eigene Einschätzung
31001_2000;Gebäude für Wirtschaft oder Gewerbe;NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;5;ENEKA-intern: Allgemeines Industrie- und Gewerbegebäude;700000;90;eigene Einschätzung
31001_2052;Einkaufszentrum;NWG;9;Handelsgebäude;5;ENEKA-intern;720000;90;VDI-3807-Blatt2-2-2014-11.pdf
31001_2060;Messehalle;NWG;5;Gebäude für Kultur und Freizeit;20;;912000;87;VDI-3807-Blatt2-2-2014-11.pdf
31001_2072;Jugendherberge;NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;2,8;;630000;85;VDI-3807-Blatt2-2-2014-11.pdf
31001_2073;Hütte (mit Übernachtungsmöglichkeit);NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;3,5;;640000;85;VDI-3807-Blatt2-2-2014-11.pdf
31001_2130;Tankstelle;NWG;9;Handelsgebäude;2,8;;838000;85;eigene Einschätzung
31001_2211;Windmühle;NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;10;;700000;90;eigene Einschätzung
31001_2212;Wassermühle;NWG;10;Technikgebäude (Ver- und Entsorgung);5;;800000;100;eigene Einschätzung
31001_2213;Schöpfwerk;NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;3,5;;700000;90;eigene Einschätzung
31001_2220;Wetterstation;NWG;10;Technikgebäude (Ver- und Entsorgung);3,5;;800000;100;eigene Einschätzung
31001_2411;Straßenmeisterei;NWG;11;Verkehrsgebäude;3,5;;771000;86;VDI-3807-Blatt2-2-2014-11.pdf
31001_2461;Parkhaus;kein_bedarf;;Gesamt;3,5;;760000;88;VDI-3807-Blatt2-2-2014-11.pdf
31001_2463;Garage;kein_bedarf;;Gesamt;2,8;;760000;88;VDI-3807-Blatt2-2-2014-11.pdf
31001_2512;Pumpstation;NWG;10;Technikgebäude (Ver- und Entsorgung);3,5;;851000;100;eigene Einschätzung
31001_2513;Wasserbehälter;NWG;10;Technikgebäude (Ver- und Entsorgung);10;;800000;100;eigene Einschätzung
31001_2740;Treibhaus, Gewächshaus;NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;5;;711200;90;VDI-3807-Blatt2-2-2014-11.pdf
31001_3000;Gebäude für öffentliche Zwecke;NWG;1;Büro-, Verwaltungs- oder Amtsgebäude;2,8;;100000;85;eigene Einschätzung
