endenergiesektor;gebtyp_gemod;gebtyp_gemod_txt;bak;bak_txt;bak_von;bak_bis;q_d_spez_kwh_m2_ebf_a;quelle
WG;0;Gesamt;A;bis 1859;0;1859;106;eigene Berechnung
WG;0;Gesamt;B;1860-1918;1860;1918;106;eigene Berechnung
WG;0;Gesamt;C;1919-1948;1919;1948;99;eigene Berechnung
WG;0;Gesamt;D;1949-1957;1949;1957;90;eigene Berechnung
WG;0;Gesamt;E;1958-1968;1958;1968;90;eigene Berechnung
WG;0;Gesamt;F;1969-1978;1969;1978;90;eigene Berechnung
WG;0;Gesamt;G;1979-1983;1979;1983;84;eigene Berechnung
WG;0;Gesamt;H;1984-1994;1984;1994;80;eigene Berechnung
WG;0;Gesamt;I;1995-2001;1995;2001;65;eigene Berechnung
WG;0;Gesamt;J;2002-2011;2002;2011;65;eigene Berechnung
WG;0;Gesamt;K;2012-2020;2012;2020;46;eigene Berechnung
WG;0;Gesamt;L;ab 2021;2021;2045;41;eigene Berechnung
WG;0;Gesamt;Z;unbekannt;0;2045;80;eigene Berechnung
WG;1;EFH;A;bis 1859;0;1859;113;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;B;1860-1918;1860;1918;113;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;C;1919-1948;1919;1948;103;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;D;1949-1957;1949;1957;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;E;1958-1968;1958;1968;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;F;1969-1978;1969;1978;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;G;1979-1983;1979;1983;87;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;H;1984-1994;1984;1994;87;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;I;1995-2001;1995;2001;62;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;J;2002-2011;2002;2011;62;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;K;2012-2020;2012;2020;48;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;L;ab 2021;2021;2045;39;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;1;EFH;Z;unbekannt;0;2045;83;eigene Berechnung
WG;2;RH;A;bis 1859;0;1859;113;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;B;1860-1918;1860;1918;113;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;C;1919-1948;1919;1948;103;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;D;1949-1957;1949;1957;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;E;1958-1968;1958;1968;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;F;1969-1978;1969;1978;93;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;G;1979-1983;1979;1983;87;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;H;1984-1994;1984;1994;87;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;I;1995-2001;1995;2001;62;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;J;2002-2011;2002;2011;62;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;K;2012-2020;2012;2020;48;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;L;ab 2021;2021;2045;39;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab55
WG;2;RH;Z;unbekannt;0;2045;83;eigene Berechnung
WG;3;MFH;A;bis 1859;0;1859;98;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;B;1860-1918;1860;1918;98;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;C;1919-1948;1919;1948;94;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;D;1949-1957;1949;1957;86;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;E;1958-1968;1958;1968;86;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;F;1969-1978;1969;1978;86;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;G;1979-1983;1979;1983;80;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
WG;3;MFH;H;1984-1994;1984;1994;80;_Technikkatalog_Wärmeplanung_Version_1.1_August24.xlsx, Arbeitsblatt: Tab56
